Amada	Amada	VMP00SF	amar
o	o	PP3MSA00	o
confeço	confesso	VMIP1S0	confessar
,	,	Fc	,
mas	mas	CC	mais
ja	já	RG	já
me	me	PP1CS000	me
arrepẽdo	arrependo	VMIP1S0	arrepender
qto	quanto	CS	quanto
poso	posso	VMIP1S0	poder
,	.	Fp	.
fiz	Fiz	VMIS1S0	fazer
o	o	DA0MS0	o
mal	mal	NCMS000	mal
na	na	SPS00+DA0FS0	em+o
vosa	vossa	DP2FSP	vosso
preza	presença	NCFS000	presença
,	,	Fc	,
mas	mas	CC	mais
ja	já	RG	já
aqui	aqui	RG	aqui
rendida	rendida	VMP00SF	render
prometo	prometo	VMIP1S0	prometer
a	a	SPS00	a
vosos	vossos	DP2MPP	vosso
pes	pés	NCMP000	pé
chorá-lo	chorá-lo	NCMP000	pé
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
vida	vida	NCFS000	vida
	.	Fp	.
conheço	Conheço	VMIP1S0	conhecer
q	que	CS	que
so	só	RG	só
mereço	mereço	VMIP1S0	merecer
	,	Fc	,
não	não	RN	não
hũ	um	DI0MS0	um
	,	Fc	,
mas	mas	CC	mais
mil	mil	Z	mil
infernos	infernos	NCMP000	inferno
,	.	Fp	.
conheço	Conheço	VMIP1S0	conhecer
ja	já	RG	já
q	que	CS	que
por	por	SPS00	por
mto	muito	RQ	muito
grde	grande	AQ0CS0	grande
mi-zericordia	misericórdia	NCFS000	misericórdia
vosa	vossa	DP2FSP	vosso
estou	estou	VMIP1S0	estar
aqui	aqui	RG	aqui
viva	viva	AQ0FS0	vivo
,	,	Fc	,
e	e	CC	e
não	não	RN	não
ardendo	ardendo	VMG0000	arder
no	no	SPS00+DA0MS0	em+o
inferno	inferno	NCMS000	inferno
em	em	SPS00	em
vivas	vivas	AQ0FP0	vivo
cha-mas	chamas	NCFP000	chama
.	.	Fp	.
Oh	Oh	I	oh
meu	meu	DP1MSS	meu
Ds	Deus	NP00000	deus
	,	Fc	,
q	que	CS	que
vos	vos	PP2CP000	vos
darei	darei	VMIF1S0	dar
por	por	SPS00	por
tantas	tantas	DI0FP0	tanto
mizericordias	misericórdias	NCFP000	misericórdia
?	?	Fp	?
por	Por	SPS00	por
eu	eu	PP1CSN00	eu
vos	vos	PP2CP000	vos
agravar	agravar	VMN0000	agravar
com	com	SPS00	com
malde	maldade	NCFS000	maldade
infinita	infinita	AQ0FS0	infinito
me	me	PP1CS000	me
daes	dais	VMIP2P0	dar
agora	agora	RG	agora
luz	luz	NCFS000	luz
?	?	Fp	?
por	Por	SPS00	por
ter	ter	VAN0000	ter
sido	sido	VSP0000	ser
pesima	péssima	AQ0FS0	péssimo
me	me	PP1CS000	me
quereis	quereis	VMIP2P0	querer
agora	agora	RG	agora
salvar	salvar	VMN0000	salvar
e	e	CC	e
pa	para	SPS00	para
iso	isso	PD0NN000	isso
me	me	PP1CS000	me
daes	dais	VMIP2P0	dar
Guia	guia	VMIP3S0	guiar
,	,	Fc	,
me	me	PP1CS000	me
alumiaes	alumiais	NCFP000	alumiai
,	,	Fc	,
me	me	PP1CS000	me
chamaes	chamais	RG	chamais
a	a	SPS00	a
vos	Vós	PP2CP000	vós
?	?	Fp	?
Oh	Oh	I	oh
Sr	Senhor	NP00000	senhor
,	,	Fc	,
q	que	CS	que
ainda	ainda	RG	ainda
q	que	CS	que
toda	toda	DI0FS0	todo
ma	minha	DP1FSS	meu
vida	vida	NCFS000	vida
vos	vos	PP2CP000	vos
servise	servisse	VMIS3S0	servir
de	de	SPS00	de
rastros	rastos	NCMP000	rasto
	,	Fc	,
nada	nada	PI0NN00N	nada
faria	faria	VMIC0S0	fazer
pa	para	SPS00	para
o	o	DA0MS0	o
q	que	PR0CN000	que
vos	vos	PP2CP000	vos
devo	devo	VMIP1S0	dever
.	.	Fp	.
Proponho	Proponho	VMIP1S0	propor
proponho	proponho	VMIP1S0	propor
com	com	SPS00	com
as	as	DA0FP0	o
mayores	maiores	AQ0CP0	maiores
veras	veras	NCFP000	vera
evitar	evitar	VMN0000	evitar
os	os	DA0MP0	o
mais	mais	RC	mais
minimos	mínimos	AQ0MP0	mínimo
pecados	pecados	NCMP000	pecado
	,	Fc	,
obedecer	obedecer	VMN0000	obedecer
a	à	SPS00+DA0FS0	a+o
risca	risca	NCFS000	risca
a	a	SPS00	a
qm	quem	PR0CN000	quem
me	me	PP1CS000	me
destes	destes	SPS00+DD0MP0	de+este
em	em	SPS00	em
voso	vosso	DP2MSP	vosso
lugar	lugar	NCMS000	lugar
por	por	SPS00	por
guia	guia	VMIP3S0	guiar
,	,	Fc	,
a	a	SPS00	a
Ma	Maria	NP00000	maria
,	,	Fc	,
viver	viver	VMN0000	viver
como	como	CS	como
devo	devo	VMIP1S0	dever
,	,	Fc	,
eta	etc	NCMS000	etc
	.	Fp	.
E	E	CC	e
entrase	entra-se	VMIP3S0+P00CN000	entrar+se
depoes	depois	RG	depois
a	a	SPS00	a
dar	dar	VMN0000	dar
graças	graças	NCFP000	graça
pelos	pelos	SPS00+DA0MP0	por+o
beneficios	benefícios	NCMP000	benefício
recebidos	recebidos	VMP00PM	receber
na	na	SPS00+DA0FS0	em+o
Ora-ção	oração	NCFS000	oração
e	e	CC	e
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
isto	isto	PD0NN000	isto
e	e	CC	e
aquilo	aquilo	PD0NN000	aquilo
pa	para	SPS00	para
si	si	PP3CNO00	si
,	,	Fc	,
e	e	CC	e
pedir	pedir	VMN0000	pedir
pelas	pelas	SPS00+DA0FP0	por+o
Pesoas	pessoas	NCFP000	pessoa
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
parecer	parecer	VMN0000	parecer
.	.	Fp	.
Baste	Baste	VMSP0S0	bastar
por	por	SPS00	por
ora	ora	RG	ora
isto	isto	PD0NN000	isto
:	.	Fp	.
so	Só	RG	só
advirto	advirto	VMIP1S0	advertir
q	que	CS	que
antes	antes	RG	antes
de	de	SPS00	de
entrar	entrar	VMN0000	entrar
no	no	SPS00+DA0MS0	em+o
exercicio	exercício	NCMS000	exercício
das	das	SPS00+DA0FP0	de+o
tres	três	Z	três
potencias	potências	NCFP000	potência
	,	Fc	,
esteja	esteja	VMSP0S0	teja
hũ	um	DI0MS0	um
bocadinho	bocadinho	NCMS00D	bocado
mesmo	mesmo	RG	mesmo
de	de	SPS00	de
joelhos	joelhos	NCMP000	joelho
,	,	Fc	,
mãos	mãos	NCFP000	mão
postas	postas	NCFP000	posta
,	,	Fc	,
olhos	olhos	NCMP000	olho
cerrados	cerrados	NCMP000	cerrado
	,	Fc	,
e	e	CC	e
so	só	RG	só
considerãdo	considerando	VMG0000	considerar
Ds	Deus	NP00000	deus
a	a	PP3FSA00	o
está	está	VMIP3S0	estar
vendo	vendo	VMG0000	ver
prezte	presente	NCMS000	presente
	,	Fc	,
pedindolhe	pedindo-lhe	VMG0000+PP3CSD00	pedir+lhe
luz	luz	NCFS000	luz
e	e	CC	e
graça	graça	NCFS000	graça
pa	para	SPS00	para
ter	ter	VMN0000	ter
bem	bem	RG	bem
oração	oração	NCFS000	oração
,	.	Fp	.
e	E	CC	e
faça	faça	VMSP0S0	fazer
acto	ato	NCMS000	ato
de	de	SPS00	de
contrição	contrição	NCFS000	contrição
.	.	Fp	.
Então	Então	RG	então
depoes	depois	RG	depois
entre	entre	SPS00	entre
no	no	SPS00+DA0MS0	em+o
exer-cicio	exercício	NCMS000	exercício
das	das	SPS00+DA0FP0	de+o
trez	três	Z	três
potencias	potências	NCFP000	potência
	.	Fp	.
se	Se	CS	se
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
com	com	SPS00	com
alentos	alentos	NCMP000	alento
espirituaes	espirituais	AQ0CP0	espiritual
pa	para	SPS00	para
iso	isso	PD0NN000	isso
	,	Fc	,
tenha	tenha	VMSP0S0	ter
meya	meia	AQ0FS0	meia
hora	hora	NCFS000	hora
de	de	SPS00	de
Oração	oração	NCFS000	oração
de	de	SPS00	de
manhãa	manhã	NCFS000	manhã
e	e	CC	e
meya	meia	NCFS000	meia
a	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
,	,	Fc	,
qdo	quando	CS	quando
não	não	RN	não
hũ	um	DI0MS0	um
quarto	quarto	NCMS000	quarto
	.	Fp	.
Ahi	Aí	RG	aí
vai	vai	VMIP3S0	ir
o	o	DA0MS0	o
livro	livro	NCMS000	livro
das	das	SPS00+DA0FP0	de+o
Meditações	Meditações	NCFP000	meditação
,	.	Fp	.
antes	Antes	RG	antes
de	de	SPS00	de
qualquer	qualquer	DI0CS0	qualquer
Oração	oração	NCFS000	oração
	,	Fc	,
leya	leia	VMSP0S0	ler
hum	um	DI0MS0	um
ponto	ponto	NCMS000	ponto
e	e	CC	e
o	o	DA0MS0	o
Rezumo	resumo	NCMS000	resumo
dele	dele	SPS00+PP3MS000	de+ele
adiante	adiante	RG	adiante
,	,	Fc	,
e	e	CC	e
va	vá	VMSP0S0	ir
então	então	RG	então
pa	para	SPS00	para
a	a	DA0FS0	o
Oração	oração	NCFS000	oração
.	.	Fp	.
O	O	DA0MS0	o
Sr	Senhor	NP00000	senhor
abençoe	abençoe	VMSP0S0	abençoar
estas	estas	DD0FP0	este
mas	minhas	DP1FPS	meu
ou	ou	CC	ou
suas	suas	DP3FP0	seu
palavras	palavras	NCFP000	palavra
.	.	Fp	.
Ore	Ore	VMSP0S0	orar
por	por	SPS00	por
mim	mim	PP1CSO00	mim
a	a	SPS00	a
Ds	Deus	NP00000	deus
	.	Fp	.
Servo	Servo	NCMS000	servo
em	em	SPS00	em
o	o	DA0MS0	o
Sr	Senhor	NP00000	senhor
	,	Fc	,
Berndo	Bernardo	NP00000	bernardo
da	da	SPS00+DA0FS0	de+o
Sa	Silva	NP00000	silva
e	e	CC	e
Amaral	Amaral	NP00000	amaral
