Senhores	Senhores	NP00000	senhores
forma	forma	NCFS000	forma
hum	um	DI0MS0	um
monho	monho	NCMS000	monho
na	na	SPS00+DA0FS0	em+o
Cabesa	cabeça	NCFS000	cabeça
e	e	CC	e
atarlhe	atar-lhe	CC	e
as	as	DA0FP0	o
azas	asas	NCFP000	asa
e	e	CC	e
os	os	DA0MP0	o
pes	pés	NCMP000	pé
e	e	CC	e
o	o	DA0MS0	o
Rabo	rabo	NCMS000	rabo
e	e	CC	e
q	que	CS	que
havia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
botar	botar	VMN0000	botar
na	na	SPS00+DA0FS0	em+o
vea	via	NCFS000	via
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
na	na	SPS00+DA0FS0	em+o
sesta feira	sexta-feira	NCFS000	sexta-feira
lhe	lhe	PP3CSD00	lhe
dei	dei	VMIS1S0	dar
eu	eu	PP1CSN00	eu
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
e	e	CC	e
a	a	DA0FS0	o
guita	guita	NCFS000	guita
	.	Fp	.
ella	Ela	PP3FS000	ele
dise	disse	VMIS3S0	dizer
q	que	CS	que
la	lá	RG	lá
em	em	SPS00	em
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
ataria	ataria	SPS00	ataria
as	as	DA0FP0	o
palavras	palavras	NCFP000	palavra
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
dise	disse	VMIS3S0	dizer
q	que	CS	que
havia	havia	VMII0S0	haver
dizer	dizer	VMN0000	dizer
quando	quando	CS	quando
a	a	PP3FSA00	o
botase	botasse	VMSI0S0	botar
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
na	na	SPS00+DA0FS0	em+o
vea	via	NCFS000	via
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
	.	Fp	.
não	Não	RN	não
sei	sei	VMIP1S0	saber
se	se	CS	se
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
havia	havia	VMII0S0	haver
dizer	dizer	VMN0000	dizer
asim	assim	RG	assim
	:	Fp	:
	&quot;	VMN0000	&quot;
Como	como	CS	como
tu	tu	PP2CSN00	tu
pomba	pomba	NCFS000	pomba
vas	vais	VMIP2S0	ir
entrando	entrando	VMG0000	entrar
	,	Fc	,
asim	assim	RG	assim
o	o	DA0MS0	o
mal	mal	NCMS000	mal
se	se	CS	se
va	vá	VMSP0S0	ir
tirando	tirando	VMG0000	tirar
	&quot;	VMN0000	&quot;
o	ou	CC	ou
	&quot;	VMN0000	&quot;
asim	assim	RG	assim
Como	como	CS	como
tu	tu	PP2CSN00	tu
pombo	pombo	RG	pombo
vas	vás	VMSP2S0	ir
hindo	indo	VMG0000	ir
	,	Fc	,
asim	assim	RG	assim
o	o	DA0MS0	o
mal	mal	NCMS000	mal
se	se	CS	se
va	vá	VMSP0S0	ir
sahindo	saindo	VMG0000	sair
	&quot;	VMN0000	&quot;
	.	Fp	.
Com	Com	SPS00	com
q	que	CS	que
não	não	RN	não
estou	estou	VMIP1S0	estar
serta	certa	AQ0FS0	certo
se	se	CS	se
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
havia	havia	VMII0S0	haver
dizer	dizer	VMN0000	dizer
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
o	ou	CC	ou
as	as	DA0FP0	o
outras	outras	DI0FP0	outro
mais	mais	RC	mais
a	a	RC	mais
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
veio	veio	VMIS3S0	vir
ella	ela	PP3FS000	ele
de	de	SPS00	de
tarde	tarde	NCFS000	tarde
e	e	CC	e
dise	disse	VMIS3S0	dizer
	:	Fd	:
	«	Fra	«
temos	Temos	VMIP1P0	ter
boas novas	boas-novas	NCFP000	boa-nova
	»	Frt	»
	!	Fp	!
e	E	CC	e
dise	disse	VMIS3S0	dizer
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
q	que	CS	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
q	que	CS	que
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
fou	foi	VMIS3S0	ir
botar	botar	VMN0000	botar
na	na	SPS00+DA0FS0	em+o
vea	via	NCFS000	via
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
q	que	CS	que
hera	era	VMIP3S0	era
pa	para	SPS00	para
saber	saber	VMN0000	saber
se	se	CS	se
tinha	tinha	VMII0S0	ter
o	o	DA0MS0	o
mal	mal	NCMS000	mal
Remedio	remédio	NCMS000	remédio
o	ou	CC	ou
se	se	CS	se
o	o	DA0MS0	o
não	não	RN	não
tinha	tinha	VMII0S0	ter
	,	Fc	,
porq	porque	CS	porque
	,	Fc	,
se	se	CS	se
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
esboasase	esvoaçasse	NCFS000	pomba
na	na	SPS00+DA0FS0	em+o
agoa	água	NCFS000	água
	,	Fc	,
pareseme	parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
não	não	RN	não
tinha	tinha	VMII0S0	ter
Remedio	remédio	NCMS000	remédio
e	e	CC	e
	,	Fc	,
se	se	CS	se
a	a	DA0FS0	o
pomba	pomba	NCFS000	pomba
fose	fosse	VMSI0S0	ir
o	ao	SPS00+DA0MS0	a+o
fundo	fundo	NCMS000	fundo
	,	Fc	,
pareseme	parece-me	VMIP3S0+PP1CS000	parecer+me
q	que	CS	que
dise	disse	VMIS3S0	dizer
q	que	CS	que
tinha	tinha	VMII0S0	ter
o	o	DA0MS0	o
mal	mal	NCMS000	mal
Remedio	remédio	NCMS000	remédio
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
q	que	CS	que
ella	ela	PP3FS000	ele
lhas	lhas	PP3CSD00+PP3FPA00	lhe+o
disera	dissera	VMIM0S0	dizer
	.	Fp	.
andando	Andando	VMG0000	andar
eu	eu	PP1CSN00	eu
emcapas	incapaz	AQ0CS0	incapaz
de	de	SPS00	de
tomar	tomar	VMN0000	tomar
os	os	DA0MP0	o
defumadouros	defumadores	NCMP000	defumador
	,	Fc	,
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
a	a	SPS00	a
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
q	que	CS	que
botase	botasse	VMSI0S0	botar
aRuda	arruda	NCFS000	arruda
e	e	CC	e
mostarda	mostarda	NCFS000	mostarda
branCa	branca	AQ0FS0	branco
e	e	CC	e
hua	uma	DI0FS0	um
pedra	pedra	NCFS000	pedra
de	de	SPS00	de
emsenso	incenso	NCMS000	incenso
em	em	SPS00	em
brazas	brasas	NCFP000	brasa
e	e	CC	e
	,	Fc	,
tanto	tanto	CC	tanto
q	que	CS	que
ellas	elas	PP3FP000	ele
estivesem	estivessem	VMSI3P0	estar
Capazes	capazes	AQ0CP0	capaz
de	de	SPS00	de
eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
por	pôr	VMN0000	pôr
os	os	DA0MP0	o
pes	pés	NCMP000	pé
	,	Fc	,
as	as	PP3FPA00	o
botase	botasse	VMSI0S0	botar
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
pela	pela	SPS00+DA0FS0	por+o
Caza	casa	NCFS000	casa
e	e	CC	e
eu	eu	PP1CSN00	eu
q	que	CS	que
andase	andasse	VMSI0S0	andar
a	a	SPS00	a
pasiar	passear	VMN0000	passear
por	por	SPS00	por
sima	cima	NCFS000	cima
dellas	delas	SPS00+PP3FP000	de+ele
	.	Fp	.
e	E	CC	e
	,	Fc	,
quando	quando	CS	quando
eu	eu	PP1CSN00	eu
fazia	fazia	VMII0S0	fazer
esta	esta	DD0FS0	este
mezinha	mezinha	NCFS000	mezinha
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
da	da	SPS00+DA0FS0	de+o
murta	murta	NCFS000	murta
	,	Fc	,
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
asim	assim	RG	assim
Como	como	CS	como
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
deitase	deitasse	VMSI0S0	deitar
na	na	SPS00+DA0FS0	em+o
Cama	cama	NCFS000	cama
me	me	PP1CS000	me
puzesem	pusessem	VMSI3P0	pôr
estes	estes	DD0MP0	este
difumadores	defumadores	NCMP000	defumador
debaixo	debaixo	RG	debaixo
da	da	SPS00+DA0FS0	de+o
Cama	cama	NCFS000	cama
	.	Fp	.
dise	Disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
a	a	DA0FS0	o
sebola albarram	cebola-albarrã	DA0FS0	o
e	e	CC	e
a	a	PP3FSA00	o
partisem	partissem	PP3FSA00	o
em	em	SPS00	em
Coatro	quatro	Z	quatro
quartos	quartos	NCMP000	quarto
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
tirasem	tirassem	VMSI3P0	tirar
as	as	DA0FP0	o
Casquas	cascas	NCFP000	casca
dela	dela	SPS00+PP3FS000	de+ele
e	e	CC	e
puzesem	pusessem	VMSI3P0	pôr
hum	um	DI0MS0	um
Casquo	casco	NCMS000	casco
em	em	SPS00	em
Cada	cada	DI0CN0	cada
Couse	coice	NCMS000	coice
das	das	SPS00+DA0FP0	de+o
portas	portas	NCFP000	porta
	,	Fc	,
asim	assim	RG	assim
em	em	SPS00	em
Caza	casa	NCFS000	casa
de	de	SPS00	de
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
Como	como	CS	como
e	e	CC	e
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
	,	Fc	,
com	com	SPS00	com
q	que	PR0CN000	que
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
as	as	PP3FPA00	o
pos	pôs	VMIS3S0	pôr
	.	Fp	.
e	E	CC	e
	,	Fc	,
Como	como	CS	como
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
se	se	CS	se
tinha	tinha	VAII0S0	ter
ja	já	RG	já
modado	mudado	VMP00SM	mudar
pa	para	SPS00	para
humas	umas	DI0FP0	um
cazas	casas	NCFP000	casa
pa	para	SPS00	para
o	o	DA0MS0	o
cais	cais	NCMS000	cais
	,	Fc	,
as	as	DA0FP0	o
curas	curas	NCFP000	cura
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
veio	veio	VMIS3S0	vir
fazer	fazer	VMN0000	fazer
a	a	SPS00	a
minha	minha	DP1FSS	meu
caza	casa	NCFS000	casa
foram	foram	VMIS3P0	ir
estas	estas	DD0FP0	este
	:	Fp	:
fesme	fez-me	VMIS3S0+PP1CS000	fazer+me
ella	ela	PP3FS000	ele
huma	uma	DI0FS0	um
Crus	cruz	NCFS000	cruz
Com	com	SPS00	com
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
mam	mão	NCFS000	mão
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
estamago	estômago	NCMS000	estômago
	,	Fc	,
dahi	daí	SPS00+RG	de+aí
tomou	tomou	VMIS3S0	tomar
hua	uma	DI0FS0	um
galinha	galinha	NCFS000	galinha
preta	preta	AQ0FS0	preta
e	e	CC	e
abria	abre-a	VMIP3S0+PP3FSA00	abrir+o
pelas	pelas	SPS00+DA0FP0	por+o
Costas	costas	NCFP000	costa
e	e	CC	e
posma	pôs-ma	VMIS3S0+PP1CS000+PP3FSA00	pôr+me+o
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
estamago	estômago	NCMS000	estômago
Com	com	SPS00	com
a	a	DA0FS0	o
Cabesa	cabeça	NCFS000	cabeça
dela	dela	SPS00+PP3FS000	de+ele
pa	para	SPS00	para
a	a	DA0FS0	o
ilharga	ilharga	NCFS000	ilharga
esquerda	esquerda	AQ0FS0	esquerdo
e	e	CC	e
o	o	DA0MS0	o
Rabo	rabo	NCMS000	rabo
pa	para	SPS00	para
a	a	DA0FS0	o
ilharga	ilharga	NCFS000	ilharga
direita	direita	AQ0FS0	direito
	,	Fc	,
e	e	CC	e
q	que	CS	que
havia	havia	VMII0S0	haver
de	de	SPS00	de
ter	ter	VMN0000	ter
duas	duas	Z	duas
horas	horas	NCFP000	hora
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
posma	pôs-ma	VMIS3S0+PP1CS000+PP3FSA00	pôr+me+o
pelas	pelas	SPS00+DA0FP0	por+o
nove	nove	Z	nove
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
minhem	manhã	NCFS000	manhã
e	e	CC	e
tiroume	tirou-me	VMIS3S0+PP1CS000	tirar+me
pelas	pelas	SPS00+DA0FP0	por+o
honze	onze	Z	onze
horas	horas	NCFP000	hora
	.	Fp	.
e	E	CC	e
quando	quando	CS	quando
ella	ela	PP3FS000	ele
me	me	PP1CS000	me
tirou	tirou	VMIS3S0	tirar
me	me	PP1CS000	me
pregouto	perguntou	VMIS3S0	perguntar
Como	como	CS	como
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
Chamava	chamava	VMII0S0	chamar
	.	Fp	.
disilhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
nome	nome	NCMS000	nome
	.	Fp	.
ella	Ela	PP3FS000	ele
tomou	tomou	VMIS3S0	tomar
a	a	DA0FS0	o
galinha	galinha	NCFS000	galinha
	,	Fc	,
embrolhoa	embrolhou-a	VMIS3S0+PP3FSA00	embrolhou-a
e	em	SPS00	em
huma	uma	DI0FS0	um
Rodilha	rodilha	NCFS000	rodilha
e	e	CC	e
	,	Fc	,
quando	quando	CS	quando
ella	ela	PP3FS000	ele
a	a	PP3FSA00	o
ebrolhava	embrulhava	NCFS000	embrulhava
	,	Fc	,
deu	deu	VMIS3S0	dar
humas	umas	DI0FP0	um
panCadas	pancadas	NCFP000	pancada
sobre	sobre	SPS00	sobre
a	a	DA0FS0	o
galinha	galinha	NCFS000	galinha
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
ouvi	ouvi	VMIS1S0	ouvir
dizer	dizer	VMN0000	dizer
	&quot;	VMN0000	&quot;
jezus	Jesus	NP00000	jesus
	&quot;	VMN0000	&quot;
e	e	CC	e
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
a	a	SPS00	a
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
q	que	CS	que
a	a	PP3FSA00	o
fose	fosse	VMSI0S0	ir
botar	botar	VMN0000	botar
no	no	SPS00+DA0MS0	em+o
rrio	rio	NCMS000	rio
nesta	nesta	SPS00+DD0FS0	em+este
forme	forma	NCFS000	forma
	:	Fp	:
q	que	CS	que
	,	Fc	,
asim	assim	RG	assim
como	como	CS	como
elle	ele	PP3MS000	ele
Chegase	chegasse	VMSI0S0	chegar
ao	ao	SPS00+DA0MS0	a+o
Rio	rio	NCMS000	rio
	,	Fc	,
virase	virasse	VMSI0S0	virar
as	as	DA0FP0	o
Costas	costas	NCFP000	costa
pa	para	SPS00	para
ele	ele	PP3MS000	ele
e	e	CC	e
botase	botasse	VMSI0S0	botar
a	a	DA0FS0	o
galinha	galinha	NCFS000	galinha
pa	para	SPS00	para
o	o	DA0MS0	o
Rio	rio	NCMS000	rio
e	e	CC	e
se	se	CS	se
viese	viesse	VMSI0S0	vir
embora	embora	RG	embora
e	e	CC	e
não	não	RN	não
olhase	olhasse	VMSI0S0	olhar
pa	para	SPS00	para
tras	trás	RG	trás
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
a	a	SPS00	a
os	uns	DI0MP0	um
dias	dias	NCMP000	dia
me	me	PP1CS000	me
deram	deram	VMIS3P0	dar
humas	umas	DI0FP0	um
dores	dores	NCFP000	dor
na	na	SPS00+DA0FS0	em+o
cabesa	cabeça	NCFS000	cabeça
	,	Fc	,
de	de	SPS00	de
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
dise	disse	VMIS3S0	dizer
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
ortigas	urtigas	NCFP000	urtiga
e	e	CC	e
as	as	SPS00+DA0FS0	a+o
pizesem	pisassem	SPS00+DA0FS0	a+o
e	e	CC	e
nos	nos	SPS00+DA0MP0	em+o
delas	delas	SPS00+DA0FS0	em+o
molhasem	molhassem	SPS00+DA0FS0	em+o
hum	um	DI0MS0	um
panno	pano	NCMS000	pano
e	e	CC	e
mo	mo	PP1CS000+PP3MSA00	me+o
pozesem	pusessem	VMSI3P0	pôr
pela	pela	SPS00+DA0FS0	por+o
testa	testa	NCFS000	testa
	.	Fp	.
diselhe	Disse-lhe	VMIS3S0+PP3CSD00	dizer+lhe
eu	eu	PP1CSN00	eu
q	que	CS	que
me	me	PP1CS000	me
não	não	RN	não
achara	achara	VMIM0S0	achar
bem	bem	RG	bem
Com	com	SPS00	com
esta	esta	DD0FS0	este
mezinha	mezinha	NCFS000	mezinha
	.	Fp	.
tomou	Tomou	VMIS3S0	tomar
ella	ela	PP3FS000	ele
hum	um	DI0MS0	um
franguo	frango	NCMS000	frango
preto	preto	NCMS000	preto
e	e	CC	e
abrio	abre-o	CC	e
pelas	pelas	SPS00+DA0FP0	por+o
Costas	costas	NCFP000	costa
e	e	CC	e
mo	mo	PP1CS000+PP3MSA00	me+o
pos	pôs	VMIS3S0	me+o
na	na	SPS00+DA0FS0	em+o
Cabesa	cabeça	NCFS000	cabeça
e	e	CC	e
o	o	PP3MSA00	o
tive	tive	VMIS1S0	ter
meia	meia	AQ0FS0	meia
hora	hora	NCFS000	hora
	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
aChei	achei	VMIS1S0	achar
milhor	melhor	RG	melhor
das	das	SPS00+DA0FP0	de+o
dores	dores	NCFP000	dor
e	e	CC	e
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
minha	minha	DP1FSS	meu
Thia	tia	NCFS000	tio
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
	:	Fp	:
	&quot;	Fe	&quot;
veja	veja	VMSP0S0	ver
o	o	DA0MS0	o
mal	mal	NCMS000	mal
por	por	SPS00	por
honde	onde	PA000000	onde
quer	quer	VMIP3S0	querer
sahir	sair	VMN0000	sair
	,	Fc	,
se	se	CS	se
pela	pela	SPS00+DA0FS0	por+o
Cabesa	cabeça	NCFS000	cabeça
o	ou	CC	ou
pelos	pelos	SPS00+DA0MP0	por+o
os	os	DA0MP0	o
pes	pés	NCMP000	pé
	,	Fc	,
Com	com	SPS00	com
q	que	PR0CN000	que
busque	busque	VMSP0S0	buscar
ele	ele	PP3MS000	ele
agora	agora	RG	agora
honde	onde	RG	onde
o	ou	CC	ou
saia	saia	NCFS000	saia
pela	pela	SPS00+DA0FS0	por+o
cabesa	cabeça	NCFS000	cabeça
	,	Fc	,
por	por	SPS00	por
honde	onde	PA000000	onde
emtrou	entrou	VMIS3S0	entrar
	&quot;	VMN0000	&quot;
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
a	a	SPS00	a
os	uns	DI0MP0	um
dias	dias	NCMP000	dia
tomou	tomou	VMIS3S0	tomar
huma	uma	DI0FS0	um
galinha	galinha	NCFS000	galinha
preta	preta	AQ0FS0	preta
e	e	CC	e
abria	abre-a	VMIP3S0+PP3FSA00	abrir+o
pelas	pelas	SPS00+DA0FP0	por+o
Costas	costas	NCFP000	costa
e	e	CC	e
posma	pôs-ma	VMIS3S0+PP1CS000+PP3FSA00	pôr+me+o
sobre	sobre	SPS00	sobre
o	o	DA0MS0	o
estamago	estômago	NCMS000	estômago
com	com	SPS00	com
o	o	DA0MS0	o
Rabo	rabo	NCMS000	rabo
pa	para	SPS00	para
a	a	DA0FS0	o
garganta	garganta	NCFS000	garganta
e	e	CC	e
a	a	DA0FS0	o
Cabesa	cabeça	NCFS000	cabeça
pa	para	SPS00	para
bauxo	baixo	RG	baixo
e	e	CC	e
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
a	a	SPS00	a
minha	minha	DP1FSS	meu
Irmam	irmã	NCFS000	irmão
	,	Fc	,
tanto	tanto	CC	tanto
q	que	CS	que
pasase	passasse	VMSI0S0	passar
duas	duas	Z	duas
horas	horas	NCFP000	hora
	,	Fc	,
ma	ma	PP1CS000+PP3FSA00	me+o
tirase	tirasse	VMSI0S0	tirar
e	e	CC	e
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
q	que	CS	que
a	a	PP3FSA00	o
botase	botasse	VMSI0S0	botar
no	no	SPS00+DA0MS0	em+o
rrio	rio	NCMS000	rio
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
botou	botou	VMIS3S0	botar
a	a	SPS00	a
outra	outra	DI0FS0	outro
	.	Fp	.
e	E	CC	e
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
lhe	lhe	PP3CSD00	lhe
pregou	pregou	VMIS3S0	pregar
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	:	Fp	:
	&quot;	VMN0000	&quot;
se	se	CS	se
	,	Fc	,
asim	assim	RG	assim
como	como	CS	como
elle	ele	PP3MS000	ele
chegase	chegasse	VMSI0S0	chegar
ao	ao	SPS00+DA0MS0	a+o
Rio	rio	NCMS000	rio
e	e	CC	e
virase	virasse	VMSI0S0	virar
as	as	DA0FP0	o
Costas	costas	NCFP000	costa
pa	para	SPS00	para
ela	ela	PP3FS000	ele
e	e	CC	e
botase	botasse	VMSI0S0	botar
a	a	DA0FS0	o
galinha	galinha	NCFS000	galinha
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
se	se	CS	se
elle	ele	PP3MS000	ele
olhase	olhasse	VMSI0S0	olhar
pa	para	SPS00	para
o	o	DA0MS0	o
Rio	rio	NCMS000	rio
	,	Fc	,
se	se	CS	se
fiCava	ficava	VMII0S0	ficar
a	a	DA0FS0	o
cura	cura	NCFS000	cura
bem	bem	RG	bem
feita	feita	VMP00SF	fazer
	&quot;	VMN0000	&quot;
	.	Fp	.
ella	Ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
q	que	CS	que
hiso	isso	PD0NN000	isso
não	não	RN	não
emprotava	importava	VMII0S0	importar
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
tornou	tornou	VMIS3S0	tornar
ella	ela	PP3FS000	ele
a	a	SPS00	a
dizer	dizer	VMN0000	dizer
a	a	SPS00	a
meu	meu	DP1MSS	meu
pai	pai	NCMS000	pai
q	que	CS	que
	,	Fc	,
se	se	CS	se
elle	ele	PP3MS000	ele
olhase	olhasse	VMSI0S0	olhar
pa	para	SPS00	para
o	o	DA0MS0	o
Rio	rio	NCMS000	rio
	,	Fc	,
q	que	CS	que
não	não	RN	não
ficava	ficava	VMII0S0	ficar
a	a	DA0FS0	o
cura	cura	NCFS000	cura
bem	bem	RG	bem
feita	feita	VMP00SF	fazer
e	e	CC	e
q	que	CS	que
	,	Fc	,
se	se	CS	se
naquela	naquela	SPS00+DD0FS0	em+aquele
oCaziam	ocasião	NCFS000	ocasião
lhe	lhe	PP3CSD00	lhe
pudesem	pudessem	VMSI3P0	poder
fazer	fazer	VMN0000	fazer
mal	mal	RG	mal
	,	Fc	,
q	que	CS	que
lho	lho	PP3CSD00+PP3MSA00	lhe+o
aviam	haviam	VMII3P0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
a	a	PP3FSA00	o
botou	botou	VMIS3S0	botar
na	na	SPS00+DA0FS0	em+o
forma	forma	NCFS000	forma
q	que	PR0CN000	que
botou	botou	VMIS3S0	botar
a	a	SPS00	a
outra	outra	DI0FS0	outro
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
a	a	SPS00	a
os	uns	DI0MP0	um
dias	dias	NCMP000	dia
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
q	que	CS	que
Cozesem	cozessem	CS	que
huma	uma	DI0FS0	um
poCa	pouca	NCFS000	pouco
de	de	SPS00	de
murta	murta	NCFS000	murta
e	e	CC	e
desta	desta	SPS00+DD0FS0	de+este
agoa	água	NCFS000	água
havia	havia	VMII0S0	haver
de	de	SPS00	de
fiCar	ficar	VMN0000	ficar
meia	meia	AQ0FS0	meia
Canada	canada	NCFS000	canada
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
tirase	tirasse	VMSI0S0	tirar
a	a	DA0FS0	o
murta	murta	NCFS000	murta
fora	fora	RG	fora
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
botase	botasse	VMSI0S0	botar
asuCar	açúcar	NCMS000	açúcar
e	e	CC	e
eu	eu	PP1CSN00	eu
q	que	CS	que
ha	a	SPS00	a
fose	fosse	VMSI0S0	ir
bobendo	bebendo	SPS00	bebendo
aqueles	aqueles	DD0MP0	aquele
dias	dias	NCMP000	dia
nesta	nesta	SPS00+DD0FS0	em+este
forma	forma	NCFS000	forma
	:	Fp	:
a	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
	,	Fc	,
o	ao	SPS00+DA0MS0	a+o
deitar	deitar	VMN0000	deitar
da	da	SPS00+DA0FS0	de+o
Cama	cama	NCFS000	cama
	,	Fc	,
q	que	CS	que
bobese	bebesse	CS	que
hum	um	DI0MS0	um
Copo	copo	NCMS000	copo
dela	dela	SPS00+PP3FS000	de+ele
e	e	CC	e
q	que	CS	que
puzese	pusesse	VMSI0S0	pôr
hum	um	DI0MS0	um
Copo	copo	NCMS000	copo
dela	dela	SPS00+PP3FS000	de+ele
na	na	SPS00+DA0FS0	em+o
ginela	janela	NCFS000	janela
a	a	SPS00	a
serenar	serenar	VMN0000	serenar
e	e	CC	e
pela	pela	SPS00+DA0FS0	por+o
minhem	manhã	NCFS000	manhã
a	a	PP3FSA00	o
bobese	bebesse	PP3FSA00	o
antes	antes	RG	antes
q	que	CS	que
eu	eu	PP1CSN00	eu
me	me	PP1CS000	me
erguese	erguesse	PP1CS000	me
da	da	SPS00+DA0FS0	de+o
Cama	cama	NCFS000	cama
e	e	CC	e
nesta	nesta	SPS00+DD0FS0	em+este
forma	forma	NCFS000	forma
q	que	CS	que
a	a	PP3FSA00	o
fose	fosse	VMSI0S0	ir
eu	eu	PP1CSN00	eu
bobendo	bebendo	VMIP1S0	bebender
	.	Fp	.
dahi	Daí	SPS00+RG	de+aí
a	a	SPS00	a
os	uns	DI0MP0	um
dias	dias	NCMP000	dia
dise	disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
tomasem	tomassem	VMSI3P0	tomar
huma	uma	DI0MS0	um
galinha	galinha	NCMS000	um
preta	preta	AQ0FS0	preta
e	e	CC	e
a	a	PP3FSA00	o
Cozesem	cozessem	PP3FSA00	o
em	em	SPS00	em
agoa	água	NCFS000	água
e	e	CC	e
q	que	CS	que
