Nuestro	Nuestro	DP1MSP	nuestro
oro	oro	NCMS000	oro
	,	Fc	,
todo	todo	PI0MS000	todo
destroçado	destrozado	VMP00SM	destrozar
y	y	CC	y
sin	sin	SPS00	sin
arboles	árboles	NCMP000	árboles
	,	Fc	,
y	y	CC	y
ba	va	VMIP3S0	ir
tan	tan	RC	tan
deprisa	deprisa	RG	deprisa
que	que	CS	que
a	a	SPS00	a
nadie	nadie	PI0NN00N	nadie
da	da	VMIP3S0	dar
lugar	lugar	NCMS000	lugar
a	a	SPS00	a
que	que	CS	que
escriba	escriba	VMSP0S0	escribir
	.	Fp	.
nuestro	Nuestro	DP1MSP	nuestro
señor	Señor	NP00000	señor
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
la	la	DA0FS0	el
salud	salud	NCFS000	salud
que	que	PR0CN000	que
todos	todos	PI0MS000	todo
aca	acá	RG	acá
le	le	PP3CSD00	le
deseamos	deseamos	VMIP1P0	desear
	,	Fc	,
para	para	SPS00	para
que	que	CS	que
tiniendola	teniéndola	VMG0000+PP3FSA00	tener+lo
nos	nos	PP1CP000	nos
escriba	escriba	VMSP0S0	escribir
de	de	SPS00	de
la	la	DA0FS0	el
vida	vida	NCFS000	vida
d	de	SPS00	de
esos	esos	DD0MP0	ese
dos	dos	Z	2
angelitos	angelitos	NCMP000	angelito
que	que	PR0CN000	que
a	ha	VAIP3S0	haber
hecho	hecho	VMP0000	hacer
dios	Dios	NP00000	dios
y	y	CC	y
si	si	CS	si
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
su	su	DP3CS0	su
boluntad	voluntad	NCFS000	voluntad
de	de	SPS00	de
que	que	CS	que
esten	estén	VMSP3P0	estar
bibas	vivas	AQ0FP0	vivo
	,	Fc	,
que	que	CS	que
cierto	cierto	RG	cierto
que	que	CS	que
desde	desde	SPS00	desde
aca	acá	RG	acá
hazemos	hacemos	VMIP1P0	hacer
cuenta	cuenta	NCFS000	cuenta
d	de	SPS00	de
ellas	ellas	PP3FP000	ellos
como	como	CS	como
si	si	CS	si
las	las	DA0FP0	el
tubieramos	tuviéramos	VMSI1P0	tener
presente	presente	AQ0CS0	presente
	.	Fp	.
de	De	SPS00	de
la	la	DA0FS0	el
casa	casa	NCFS000	casa
vm	VM	NP00000	VM
procure	procure	VMSP0S0	procurar
que	que	CS	que
no	no	RN	no
se	se	P00CN000	se
venda	venda	VMSP0S0	vender
	;	Fx	;
antes	antes	RG	antes
	,	Fc	,
si	si	CS	si
ser	ser	VSN0000	ser
puede	puede	VMIP3S0	poder
	,	Fc	,
se	se	P00CN000	se
entienda	entienda	VMSP0S0	entender
que	que	CS	que
tiene	tiene	VMIP3S0	tener
dueño	dueño	NCMS000	dueño
para	para	SPS00	para
lo	lo	DA0NS0	el
que	que	PR0CN000	que
es	es	VSIP3S0	ser
el	el	DA0MS0	el
hazella	hacerla	VMN0000+PP3FSA00	hacer+lo
reparar	reparar	VMN0000	reparar
	,	Fc	,
aunque	aunque	CS	aunque
yo	yo	PP1CSN00	yo
entiendo	entiendo	VMIP1S0	entender
q	que	CS	que
el	el	DA0MS0	el
que	que	PR0CN000	que
bibe	vive	VMIP3S0	vivir
en	en	SPS00	en
lla	ella	PP3FS000	él
lo	lo	PP3CNA00	lo
hara	hará	VMIF3S0	hacer
porque	porque	CS	porque
es	es	VSIP3S0	ser
hombre	hombre	NCMS000	hombre
honrado	honrado	AQ0MS0	honrado
y	y	CC	y
amigo	amigo	NP00000	amigo
	.	Fp	.
esta	Esta	DD0FS0	este
ciudad	ciudad	NCFS000	ciudad
es	es	VSIP3S0	ser
muy	muy	RQ	muy
cara	cara	NCFS000	cara
de	de	SPS00	de
comida	comida	NCFS000	comida
y	y	CC	y
de	de	SPS00	de
bibienda	vivienda	NCFS000	vivienda
	.	Fp	.
no	No	RN	no
se	sé	VMIP1S0	saber
si	si	CSI	si
asistire	asistiré	VMIF1S0	asistir
aqui	aquí	RG	aquí
pasado	pasado	VMP00SM	pasar
el	el	DA0MS0	el
año	año	NCMS000	año
	.	Fp	.
yo	Yo	PP1CSN00	yo
me	me	PP1CS000	me
remito	remito	VMIP1S0	remitir
a	a	SPS00	a
como	como	CS	como
me	me	PP1CS000	me
fuere	fuere	VSSF0S0	ser
	:	Fd	:
si	si	CS	si
me	me	PP1CS000	me
ba	va	VMIP3S0	ir
bien	bien	RG	bien
estareme	estareme	VMIF1S0+PP1CS000	estar+me
quedo	quedo	VMIP1S0	quedar
	;	Fx	;
y	y	CC	y
si	si	CS	si
no	no	RN	no
	,	Fc	,
pasare	pasaré	VMIF1S0	pasar
adelante	adelante	RG	adelante
	.	Fp	.
compre	Compré	VMIS1S0	comprar
luego	luego	RG	luego
docientas	doscientas	Z	200
botijas	botijas	NCFP000	botija
de	de	SPS00	de
bino	vino	NCMS000	vino
en	en	SPS00	en
mill	mil	Z	1000
y	y	CC	y
cien	cien	Z	100
pesos	pesos	NCMP000	peso
	.	Fp	.
creo	Creo	VMIP1S0	creer
que	que	CS	que
me	me	PP1CS000	me
ira	irá	VMIF3S0	ir
bien	bien	RG	bien
en	en	SPS00	en
ellas	ellas	PP3FP000	ellos
y	y	CC	y
todo	todo	DI0MS0	todo
el	el	DA0MS0	el
caudal	caudal	NCMS000	caudal
hechara	echará	VMIF3S0	echar
en	en	SPS00	en
vino	vino	NCMS000	vino
si	si	CS	si
no	no	RN	no
se	se	P00CN000	se
fuera	fuera	VSSI0S0	ser
encareçiendo	encareciendo	VMG0000	encarecer
	.	Fp	.
quierome	Quiérome	VMIP1S0+PP1CS000	querer+me
ir	ir	VMN0000	ir
poco	poco	RQ	poco
a	a	SPS00	a
poco	poco	RQ	poco
hasta	hasta	SPS00	hasta
conocer	conocer	VMN0000	conocer
la	la	DA0FS0	el
tierra	tierra	NCFS000	tierra
	,	Fc	,
que	que	CS	que
en	en	SPS00	en
conociendola	conociéndola	VMG0000+PP3FSA00	conocer+lo
yo	yo	PP1CSN00	yo
me	me	PP1CS000	me
entendere	entenderé	VMIF1S0	entender
	.	Fp	.
dios	Dios	NP00000	dios
guarde	guarde	VMSP0S0	guardar
a	a	SPS00	a
vm	VM	NP00000	VM
y	y	CC	y
le	le	PP3CSD00	le
de	dé	VMSP0S0	dar
la	la	DA0FS0	el
salud	salud	NCFS000	salud
que	que	PR0CN000	que
yo	yo	PP1CSN00	yo
deseo	deseo	VMIP1S0	desear
	.	Fp	.
de	De	SPS00	de
cartajena	Cartagena	NP00000	cartagena
	,	Fc	,
y	y	CC	y
de	de	SPS00	de
marco	marzo	NCMS000	marzo
5	5	Z	5
de	de	SPS00	de
1599	1599	Z	1599
años	años	NCMP000	año
	.	Fp	.
P	Pedro	NP00000	pedro
Nuñez	Núñez	NP00000	núñez
	.	Fp	.
a	A	SPS00	a
la	la	DA0FS0	el
señora	señora	NP00000	señor
maria	María	NP00000	maría
y	y	CC	y
catalina	Catalina	NP00000	catalina
de	de	SPS00	de
sandobal	Sandoval	NP00000	sandoval
besamos	besamos	VMIP1P0	besar
mill	mil	Z	1000
bezes	veces	NCFP000	vez
las	las	DA0FP0	el
manos	manos	NCFP000	mano
	.	Fp	.
y	Y	CC	y
que	que	CS	que
dios	Dios	NP00000	dios
se	se	PP3CN000	se
lo	lo	PP3CNA00	lo
perdone	perdone	VMSP0S0	perdonar
	,	Fc	,
que	que	CS	que
no	no	RN	no
me	me	PP1CS000	me
dexo	dejó	VMIS3S0	dejar
comprar	comprar	VMN0000	comprar
aquellas	aquellas	DD0FP0	aquel
tocas	tocas	VMIP2S0	tocar
en	en	SPS00	en
casa	casa	NCFS000	casa
de	de	SPS00	de
vm	VM	NP00000	VM
	.	Fp	.
que	Que	CS	que
cada	cada	DI0CN0	cada
cien	cien	Z	100
Reales	reales	NCMP000	real
que	que	PR0CN000	que
enpleara	empleara	VMSI0S0	emplear
me	me	PP1CS000	me
baliera	valiera	VMSI0S0	valer
mill	mil	Z	1000
	,	Fc	,
porque	porque	CS	porque
a	ha	VAIP3S0	haber
sido	sido	VSP0000	ser
cosa	cosa	NCFS000	cosa
de	de	SPS00	de
ver	ver	VMN0000	ver
lo	lo	DA0NS0	el
q	que	PR0CN000	que
valen	valen	VMIP3P0	valer
oy	hoy	RG	hoy
dia	día	NCMS000	día
las	las	DA0FP0	el
bugerias	bujerías	NCFP000	bujería
y	y	CC	y
cosas	cosas	NCFP000	cosa
de	de	SPS00	de
poco	poco	DI0MS0	poco
bolumem	volumen	NCMS000	volumen
	.	Fp	.
si	Si	CS	si
bolviere	volviere	VMSF0S0	volver
por	por	SPS00	por
alla	allá	RG	allá
sabre	sabré	VMIF1S0	saber
ya	ya	RG	ya
en	en	SPS00	en
lo	lo	DA0NS0	el
que	que	PR0CN000	que
tengo	tengo	VMIP1S0	tener
de	de	SPS00	de
emplear	emplear	VMN0000	emplear
	.	Fp	.
