una	Una	DI0FS0	uno
vm	VM	NP00000	VM
me	me	PP1CS000	me
abisa	avisa	VMIP3S0	avisar
de	de	SPS00	de
la	la	DA0FS0	el
çertificaçion	certificación	NCFS000	certificación
que	que	PR0CN000	que
cobrare	cobrare	VMSF0S0	cobrar
el	el	DA0MS0	el
juro	juro	NCMS000	juro
en	en	SPS00	en
Almodovar	Almodóvar	NP00000	almodóvar
	,	Fc	,
mucho	mucho	RQ	mucho
me	me	PP1CS000	me
holgaron	holgaron	VMIS3P0	holgar
por	por	SPS00	por
tenello	tenerlo	VMN0000+PP3CNA00	tener+lo
todo	todo	PI0MS000	todo
junto	junto	RG	junto
	.	Fp	.
E	Y	CC	y
myre	mire	VMSP0S0	mirar
vm	VM	NP00000	VM
q	que	CS	que
se	se	P00CN000	se
a	ha	VMIP3S0	haber
de	de	SPS00	de
cobrar	cobrar	VMN0000	cobrar
q	que	CS	que
su	Su	DP3CS0	su
mag	Majestad	NP00000	majestad
lo	lo	PP3CNA00	lo
diere	diere	VMSF0S0	dar
pagare	pagaré	VMIF1S0	pagar
	.	Fp	.
otro	Otro	DI0MS0	otro
no	no	RN	no
tengo	tengo	VMIP1S0	tener
que	que	CS	que
dezir	decir	VMN0000	decir
salvo	salvo	CS	salvo
q	que	CS	que
ruego	ruego	VMIP1S0	rogar
a	a	SPS00	a
nro	Nuestro	DP1MSP	nuestro
sor	Señor	NP00000	señor
me	me	PP1CS000	me
dexe	deje	VMSP0S0	dejar
ha	a	SPS00	a
vm	VM	NP00000	VM
para	para	SPS00	para
su	su	DP3CS0	su
servio	servicio	NCMS000	servicio
	.	Fp	.
de	De	SPS00	de
santo	Santo	NP00000	santo
domingo	Domingo	NP00000	domingo
	,	Fc	,
e	y	CC	y
de	de	SPS00	de
março	marzo	NCMS000	marzo
A	a	SPS00	a
5	5	Z	5
de	de	SPS00	de
1560	1560	Z	1560
	.	Fp	.
A	A	SPS00	a
servo	servicio	NCMS000	servicio
de	de	SPS00	de
vramd	VM	NP00000	VM
	,	Fc	,
Gero	Gerónimo	NP00000	gerónimo
lopez	López	NP00000	lópez
